nilai_belanja,jumlah_cicilan,jumlah_item,frekuensi_belanja,status_batal
1742743,11,3,6,0
4354572,11,8,27,1
4976484,12,2,2,1
2284489,11,9,29,0
1620006,3,3,38,0
1186074,6,5,3,0
4094887,8,8,16,0
1289911,9,2,30,0
4522471,7,6,40,1
2188242,4,5,2,0
4573669,6,9,17,1
1816891,5,5,41,0
4571373,8,2,12,1
3394769,1,5,35,0
841743,1,4,43,0
153355,11,7,1,0
1312752,6,6,45,0
1446025,10,2,15,1
1357371,12,5,26,1
967040,2,7,37,0
2303882,5,7,21,0
3580409,1,5,49,0
4899115,7,9,31,1
4771339,1,4,25,1
4892447,4,3,23,0
1550942,9,4,24,0
4310029,1,5,38,0
3325709,4,6,28,0
134654,6,3,21,0
2004354,6,2,43,0
2466182,12,4,18,1
3524675,8,5,36,0
2702991,1,4,35,0
2478388,7,3,45,0
578178,1,8,9,0
2713046,7,4,38,1
2636644,3,2,30,0
2620406,11,2,44,1
3466664,8,1,34,0
3435659,3,4,32,0
3435357,1,9,3,0
2845513,8,7,3,0
1515689,3,7,28,0
118148,2,7,44,0
1875665,1,8,15,0
2795683,3,1,41,0
3447723,2,8,23,1
3053758,2,4,40,0
4106518,6,4,11,0
2719995,12,4,48,0
4500812,1,6,32,1
4848669,2,7,36,0
1920928,6,6,33,0
4205299,3,1,24,0
2607489,4,8,39,0
1823415,1,7,34,0
2355413,8,6,28,0
3960197,7,6,37,0
321836,7,5,7,0
3634702,3,6,4,0
2145505,10,9,37,1
2349435,10,9,1,1
246769,3,8,1,0
2708505,2,9,47,0
1321741,12,8,20,0
3819315,1,8,19,0
1096797,7,1,29,0
3097262,7,5,10,1
1634398,12,4,18,0
2635031,2,2,28,0
614685,7,8,35,0
2929190,8,3,43,1
1361736,1,4,47,0
1057293,9,7,31,0
4824183,7,9,27,1
3416612,3,2,11,0
73247,8,3,49,0
2754238,7,4,49,0
2680708,11,1,38,0
3544679,8,7,5,1
1817640,6,2,8,0
2663740,9,5,34,0
1335160,5,1,48,0
1475472,3,3,12,0
98984,3,2,38,0
2450070,1,1,1,0
3315879,12,7,31,1
1554384,8,5,4,1
2280919,2,1,49,0
1802126,3,6,45,0
4380634,8,5,5,1
1787095,8,3,30,0
2161138,11,7,24,1
4830450,4,9,3,1
2159818,4,9,11,0
2281785,5,9,45,0
4533302,6,2,4,0
2998089,5,3,26,0
2775928,7,7,27,0
3903339,2,5,46,0
1893400,7,2,43,0
1129111,10,3,27,0
1046107,7,6,42,0
3571441,1,7,6,0
4595583,7,9,15,0
1920230,5,1,30,0
3797389,3,7,42,1
4192807,3,8,37,1
4733874,4,3,37,0
3652279,12,4,42,1
2171690,2,6,37,0
3041650,2,7,35,0
541234,1,4,23,0
1998260,5,8,6,0
4383486,4,5,4,0
1571101,11,1,18,1
4428368,10,4,9,1
